Country,2002,2022
Mauritius,72,74
Cabo Verde,71,75
Seychelles,70,72
Sao Tome and Principe,63,69
Sudan,59,66
Rwanda,51,67
Ethiopia,52,66
Senegal,58,68
Mauritania,61,65
Comoros,59,64
United Republic of Tanzania,55,67
Uganda,50,64
Gabon,61,66
Ghana,59,64
Kenya,55,62
Djibouti,57,63
Malawi,47,63
Gambia,57,63
Madagascar,59,65
South Africa,56,61
Congo,55,63
Namibia,51,58
Togo,55,62
Eritrea,59,67
Liberia,54,61
Burundi,50,62
Benin,57,60
Niger,51,62
Angola,47,62
Cote d Ivoire,51,59
Mali,52,59
South Sudan,47,56
Burkina Faso,51,60
Nigeria,48,54
Zambia,47,62
Cameroon,53,61
Democratic Republic of the Congo,52,60
Botswana,51,66
Equatorial Guinea,54,61
Guinea,53,59
Sierra Leone,46,60
Zimbabwe,45,59
Guinea-Bissau,51,60
Chad,48,53
Mozambique,51,60
Eswatini,42,56
Somalia,51,56
Central African Republic,45,54
Lesotho,46,53
